"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity","strat"
"1","GLM_RUN1_AllData","ROC",0.91,NA,120,92.308,91.25,"Random"
"2","GLM_RUN1_AllData","TSS",0.836,NA,118,92.308,91.25,"Random"
"3","GLM_RUN2_AllData","ROC",0.981,NA,211,92.857,96.25,"Random"
"4","GLM_RUN2_AllData","TSS",0.891,NA,211,92.857,96.25,"Random"
"5","GLM_RUN3_AllData","ROC",0.985,NA,408,100,97.468,"Random"
"6","GLM_RUN3_AllData","TSS",0.975,NA,407,100,97.468,"Random"
"7","GLM_RUN4_AllData","ROC",0.968,NA,188.5,100,91.25,"Random"
"8","GLM_RUN4_AllData","TSS",0.913,NA,191,100,91.25,"Random"
"9","GLM_RUN5_AllData","ROC",0.893,NA,419.5,76.923,92.5,"Random"
"10","GLM_RUN5_AllData","TSS",0.694,NA,417,76.923,92.5,"Random"
